Quarter,Year,Fuel type,Value
Q1,2017,Gasoline,403087
Q2,2017,Gasoline,581151
Q3,2017,Gasoline,521730
Q4,2017,Gasoline,423659
Q1,2018,Gasoline,380187
Q2,2018,Gasoline,563103
Q3,2018,Gasoline,500791
Q4,2018,Gasoline,390802
Q1,2019,Gasoline,373971
Q2,2019,Gasoline,527118
Q3,2019,Gasoline,487211
Q4,2019,Gasoline,388271
Q1,2020,Gasoline,303035
Q2,2020,Gasoline,277460
Q3,2020,Gasoline,457057
Q4,2020,Gasoline,347376
Q1,2021,Gasoline,326146
Q2,2021,Gasoline,416441
Q3,2021,Gasoline,384338
Q4,2021,Gasoline,288436
Q1,2022,Gasoline,282993
Q2,2022,Gasoline,351524
Q3,2022,Gasoline,318834
Q1,2017,Diesel,14283
Q2,2017,Diesel,17643
Q3,2017,Diesel,18150
Q4,2017,Diesel,15711
Q1,2018,Diesel,14642
Q2,2018,Diesel,21781
Q3,2018,Diesel,19327
Q4,2018,Diesel,14850
Q1,2019,Diesel,13223
Q2,2019,Diesel,16058
Q3,2019,Diesel,16810
Q4,2019,Diesel,12998
Q1,2020,Diesel,13567
Q2,2020,Diesel,12867
Q3,2020,Diesel,19494
Q4,2020,Diesel,18841
Q1,2021,Diesel,18112
Q2,2021,Diesel,20057
Q3,2021,Diesel,14411
Q4,2021,Diesel,13301
Q1,2022,Diesel,15982
Q2,2022,Diesel,23044
Q3,2022,Diesel,19682
Q1,2017,Battery electric,1664
Q2,2017,Battery electric,2195
Q3,2017,Battery electric,2400
Q4,2017,Battery electric,2820
Q1,2018,Battery electric,2639
Q2,2018,Battery electric,7393
Q3,2018,Battery electric,6506
Q4,2018,Battery electric,6032
Q1,2019,Battery electric,5273
Q2,2019,Battery electric,12370
Q3,2019,Battery electric,10120
Q4,2019,Battery electric,7760
Q1,2020,Battery electric,8386
Q2,2020,Battery electric,6088
Q3,2020,Battery electric,12601
Q4,2020,Battery electric,11961
Q1,2021,Battery electric,12693
Q2,2021,Battery electric,16167
Q3,2021,Battery electric,15845
Q4,2021,Battery electric,14021
Q1,2022,Battery electric,19695
Q2,2022,Battery electric,21764
Q3,2022,Battery electric,29376
Q1,2017,Hybrid electric,4185
Q2,2017,Hybrid electric,7199
Q3,2017,Hybrid electric,7264
Q4,2017,Hybrid electric,5473
Q1,2018,Hybrid electric,4377
Q2,2018,Hybrid electric,8034
Q3,2018,Hybrid electric,6944
Q4,2018,Hybrid electric,6482
Q1,2019,Hybrid electric,6596
Q2,2019,Hybrid electric,13053
Q3,2019,Hybrid electric,10349
Q4,2019,Hybrid electric,8392
Q1,2020,Hybrid electric,7680
Q2,2020,Hybrid electric,6367
Q3,2020,Hybrid electric,14782
Q4,2020,Hybrid electric,12624
Q1,2021,Hybrid electric,14278
Q2,2021,Hybrid electric,26088
Q3,2021,Hybrid electric,23909
Q4,2021,Hybrid electric,15055
Q1,2022,Hybrid electric,14826
Q2,2022,Hybrid electric,27449
Q3,2022,Hybrid electric,21514
Q1,2017,Plug-in hybrid electric,1824
Q2,2017,Plug-in hybrid electric,2830
Q3,2017,Plug-in hybrid electric,2784
Q4,2017,Plug-in hybrid electric,3179
Q1,2018,Plug-in hybrid electric,4205
Q2,2018,Plug-in hybrid electric,7486
Q3,2018,Plug-in hybrid electric,6116
Q4,2018,Plug-in hybrid electric,3906
Q1,2019,Plug-in hybrid electric,3002
Q2,2019,Plug-in hybrid electric,7076
Q3,2019,Plug-in hybrid electric,6066
Q4,2019,Plug-in hybrid electric,4498
Q1,2020,Plug-in hybrid electric,3537
Q2,2020,Plug-in hybrid electric,3115
Q3,2020,Plug-in hybrid electric,4698
Q4,2020,Plug-in hybrid electric,3967
Q1,2021,Plug-in hybrid electric,4592
Q2,2021,Plug-in hybrid electric,7839
Q3,2021,Plug-in hybrid electric,8117
Q4,2021,Plug-in hybrid electric,6758
Q1,2022,Plug-in hybrid electric,6323
Q2,2022,Plug-in hybrid electric,8068
Q3,2022,Plug-in hybrid electric,4937
